budget,original_title,release_date,revenue,title,year_film,year_ceremony,category,film,winner
52000000,Erin Brockovich,2000-03-17,256271286.0,Erin Brockovich,2000,2001,BEST PICTURE,Erin Brockovich,False
103000000,Gladiator,2000-05-01,457640427.0,Gladiator,2000,2001,BEST PICTURE,Gladiator,True
17000000,卧虎藏龙,2000-10-01,213525736.0,"Crouching Tiger, Hidden Dragon",2000,2001,BEST PICTURE,"Crouching Tiger, Hidden Dragon",False
25000000,Chocolat,2000-12-14,152500343.0,Chocolat,2000,2001,BEST PICTURE,Chocolat,False
48000000,Traffic,2000-12-27,207515725.0,Traffic,2000,2001,BEST PICTURE,Traffic,False
1700000,In the Bedroom,2001-11-23,0.0,In the Bedroom,2001,2002,BEST PICTURE,In the Bedroom,False
93000000,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,871368364.0,The Lord of the Rings: The Fellowship of the Ring,2001,2002,BEST PICTURE,The Lord of the Rings: The Fellowship of the Ring,False
60000000,A Beautiful Mind,2001-12-11,313542341.0,A Beautiful Mind,2001,2002,BEST PICTURE,A Beautiful Mind,True
19800000,Gosford Park,2001-11-07,87754044.0,Gosford Park,2001,2002,BEST PICTURE,Gosford Park,False
79000000,The Lord of the Rings: The Two Towers,2002-12-18,926287400.0,The Lord of the Rings: The Two Towers,2002,2003,BEST PICTURE,The Lord of the Rings: The Two Towers,False
100000000,Gangs of New York,2002-12-14,193772504.0,Gangs of New York,2002,2003,BEST PICTURE,Gangs of New York,False
45000000,Chicago,2002-12-26,306776732.0,Chicago,2002,2003,BEST PICTURE,Chicago,True
25000000,The Hours,2002-12-27,41597830.0,The Hours,2002,2003,BEST PICTURE,The Hours,False
35000000,The Pianist,2002-09-24,120072577.0,The Pianist,2002,2003,BEST PICTURE,The Pianist,False
87000000,Seabiscuit,2003-07-22,148336445.0,Seabiscuit,2003,2004,BEST PICTURE,Seabiscuit,False
4000000,Lost in Translation,2003-08-31,119723856.0,Lost in Translation,2003,2004,BEST PICTURE,Lost in Translation,False
25000000,Mystic River,2003-10-07,156822020.0,Mystic River,2003,2004,BEST PICTURE,Mystic River,False
150000000,Master and Commander: The Far Side of the World,2003-11-14,212011111.0,Master and Commander: The Far Side of the World,2003,2004,BEST PICTURE,Master and Commander: The Far Side of the World,False
94000000,The Lord of the Rings: The Return of the King,2003-12-01,1118888979.0,The Lord of the Rings: The Return of the King,2003,2004,BEST PICTURE,The Lord of the Rings: The Return of the King,True
16000000,Sideways,2004-10-22,109502303.0,Sideways,2004,2005,BEST PICTURE,Sideways,False
40000000,Ray,2004-10-29,124731534.0,Ray,2004,2005,BEST PICTURE,Ray,False
25000000,Finding Neverland,2004-10-17,116766556.0,Finding Neverland,2004,2005,BEST PICTURE,Finding Neverland,False
30000000,Million Dollar Baby,2004-12-15,216763646.0,Million Dollar Baby,2004,2005,BEST PICTURE,Million Dollar Baby,True
116000000,The Aviator,2004-12-17,102000000.0,The Aviator,2004,2005,BEST PICTURE,The Aviator,False
6500000,Crash,2004-01-13,98410061.0,Crash,2005,2006,BEST PICTURE,Crash,True
7000000,Capote,2005-09-30,49084830.0,Capote,2005,2006,BEST PICTURE,Capote,False
14000000,Brokeback Mountain,2005-09-02,178043761.0,Brokeback Mountain,2005,2006,BEST PICTURE,Brokeback Mountain,False
7000000,"Good Night, and Good Luck.",2005-09-16,54600000.0,"Good Night, and Good Luck.",2005,2006,BEST PICTURE,"Good Night, and Good Luck.",False
70000000,Munich,2005-12-22,130358911.0,Munich,2005,2006,BEST PICTURE,Munich,False
8000000,Little Miss Sunshine,2006-07-26,100523181.0,Little Miss Sunshine,2006,2007,BEST PICTURE,Little Miss Sunshine,False
25000000,Babel,2006-09-08,135330182.0,Babel,2006,2007,BEST PICTURE,Babel,False
15000000,The Queen,2006-09-15,123384128.0,The Queen,2006,2007,BEST PICTURE,The Queen,False
90000000,The Departed,2006-10-05,289847354.0,The Departed,2006,2007,BEST PICTURE,The Departed,True
19000000,Letters from Iwo Jima,2006-12-19,68673228.0,Letters from Iwo Jima,2006,2007,BEST PICTURE,Letters from Iwo Jima,False
30000000,Atonement,2007-08-29,129266061.0,Atonement,2007,2008,BEST PICTURE,Atonement,False
25000000,Michael Clayton,2007-09-28,92991835.0,Michael Clayton,2007,2008,BEST PICTURE,Michael Clayton,False
25000000,No Country for Old Men,2007-11-08,171600000.0,No Country for Old Men,2007,2008,BEST PICTURE,No Country for Old Men,True
7500000,Juno,2007-12-05,231411584.0,Juno,2007,2008,BEST PICTURE,Juno,False
25000000,There Will Be Blood,2007-12-28,77208711.0,There Will Be Blood,2007,2008,BEST PICTURE,There Will Be Blood,False
15000000,Slumdog Millionaire,2008-05-12,377910544.0,Slumdog Millionaire,2008,2009,BEST PICTURE,Slumdog Millionaire,True
20000000,Milk,2008-11-26,54586584.0,Milk,2008,2009,BEST PICTURE,Milk,False
0,Frost/Nixon,2008-10-15,0.0,Frost/Nixon,2008,2009,BEST PICTURE,Frost/Nixon,False
32000000,The Reader,2008-12-10,113019290.0,The Reader,2008,2009,BEST PICTURE,The Reader,False
150000000,The Curious Case of Benjamin Button,2008-11-24,333932083.0,The Curious Case of Benjamin Button,2008,2009,BEST PICTURE,The Curious Case of Benjamin Button,False
70000000,Inglourious Basterds,2009-08-18,319131050.0,Inglourious Basterds,2009,2010,BEST PICTURE,Inglourious Basterds,False
175000000,Up,2009-05-13,735099082.0,Up,2009,2010,BEST PICTURE,Up,False
15000000,The Hurt Locker,2008-10-10,42000000.0,The Hurt Locker,2009,2010,BEST PICTURE,The Hurt Locker,True
30000000,District 9,2009-08-05,210819611.0,District 9,2009,2010,BEST PICTURE,District 9,False
7000000,A Serious Man,2009-10-02,31430334.0,A Serious Man,2009,2010,BEST PICTURE,A Serious Man,False
7500000,An Education,2009-10-29,26096852.0,An Education,2009,2010,BEST PICTURE,An Education,False
25000000,Up in the Air,2009-09-05,163670000.0,Up in the Air,2009,2010,BEST PICTURE,Up in the Air,False
29000000,The Blind Side,2009-11-20,309208309.0,The Blind Side,2009,2010,BEST PICTURE,The Blind Side,False
237000000,Avatar,2009-12-10,2787965087.0,Avatar,2009,2010,BEST PICTURE,Avatar,False
200000000,Toy Story 3,2010-06-16,1066969703.0,Toy Story 3,2010,2011,BEST PICTURE,Toy Story 3,False
2000000,Winter's Bone,2010-06-11,13831503.0,Winter's Bone,2010,2011,BEST PICTURE,Winter's Bone,False
160000000,Inception,2010-07-14,825532764.0,Inception,2010,2011,BEST PICTURE,Inception,False
3500000,The Kids Are All Right,2010-07-09,34705850.0,The Kids Are All Right,2010,2011,BEST PICTURE,The Kids Are All Right,False
0,The Theory of Everything,2006-10-30,0.0,The Theory of Everything,2014,2015,BEST PICTURE,The Theory of Everything,False
40000000,The Social Network,2010-09-30,224920315.0,The Social Network,2010,2011,BEST PICTURE,The Social Network,False
18000000,127 Hours,2010-11-05,35692920.0,127 Hours,2010,2011,BEST PICTURE,127 Hours,False
13000000,Black Swan,2010-12-02,327803731.0,Black Swan,2010,2011,BEST PICTURE,Black Swan,False
15000000,The King's Speech,2010-09-06,414211549.0,The King's Speech,2010,2011,BEST PICTURE,The King's Speech,True
25000000,The Fighter,2010-12-17,93617009.0,The Fighter,2010,2011,BEST PICTURE,The Fighter,False
38000000,True Grit,2010-12-22,252276927.0,True Grit,2010,2011,BEST PICTURE,True Grit,False
0,Schwerkraft,2010-03-24,0.0,Gravity,2013,2014,BEST PICTURE,Gravity,False
0,Süt,2008-09-01,0.0,Milk,2008,2009,BEST PICTURE,Milk,False
0,Vice,2008-01-01,0.0,Vice,2018,2019,BEST PICTURE,Vice,False
30000000,Midnight in Paris,2011-05-11,151119219.0,Midnight in Paris,2011,2012,BEST PICTURE,Midnight in Paris,False
32000000,The Tree of Life,2011-05-18,54674226.0,The Tree of Life,2011,2012,BEST PICTURE,The Tree of Life,False
25000000,The Help,2011-08-09,124272124.0,The Help,2011,2012,BEST PICTURE,The Help,False
50000000,Moneyball,2011-09-22,110206216.0,Moneyball,2011,2012,BEST PICTURE,Moneyball,False
15000000,The Artist,2011-05-15,133432856.0,The Artist,2011,2012,BEST PICTURE,The Artist,True
170000000,Hugo,2011-11-22,185770160.0,Hugo,2011,2012,BEST PICTURE,Hugo,False
20000000,The Descendants,2011-09-09,177243185.0,The Descendants,2011,2012,BEST PICTURE,The Descendants,False
66000000,War Horse,2011-12-25,177584879.0,War Horse,2011,2012,BEST PICTURE,War Horse,False
40000000,Extremely Loud & Incredibly Close,2011-12-24,55247881.0,Extremely Loud & Incredibly Close,2011,2012,BEST PICTURE,Extremely Loud & Incredibly Close,False
0,The Revenant,2009-08-16,0.0,The Revenant,2015,2016,BEST PICTURE,The Revenant,False
0,El artista,2008-10-28,0.0,The Artist,2011,2012,BEST PICTURE,The Artist,True
1800000,Beasts of the Southern Wild,2012-06-29,21107746.0,Beasts of the Southern Wild,2012,2013,BEST PICTURE,Beasts of the Southern Wild,False
44500000,Argo,2012-10-11,232324128.0,Argo,2012,2013,BEST PICTURE,Argo,True
21000000,Silver Linings Playbook,2012-09-08,205738714.0,Silver Linings Playbook,2012,2013,BEST PICTURE,Silver Linings Playbook,False
120000000,Life of Pi,2012-11-20,609016565.0,Life of Pi,2012,2013,BEST PICTURE,Life of Pi,False
8900000,Amour,2012-07-01,29844753.0,Amour,2012,2013,BEST PICTURE,Amour,False
65000000,Lincoln,2012-11-09,275293450.0,Lincoln,2012,2013,BEST PICTURE,Lincoln,False
40000000,Zero Dark Thirty,2012-12-19,132820716.0,Zero Dark Thirty,2012,2013,BEST PICTURE,Zero Dark Thirty,False
100000000,Django Unchained,2012-12-25,425368238.0,Django Unchained,2012,2013,BEST PICTURE,Django Unchained,False
61000000,Les Misérables,2012-12-18,441809770.0,Les Misérables,2012,2013,BEST PICTURE,Les Misérables,False
0,Les Misérables,2000-09-03,0.0,Les Misérables,2012,2013,BEST PICTURE,Les Misérables,False
0,Joker,2012-08-31,0.0,Joker,2019,2020,BEST PICTURE,Joker,False
105000000,Gravity,2013-09-27,716392705.0,Gravity,2013,2014,BEST PICTURE,Gravity,False
12000000,Nebraska,2013-09-21,17654912.0,Nebraska,2013,2014,BEST PICTURE,Nebraska,False
55000000,Captain Phillips,2013-10-10,95000000.0,Captain Phillips,2013,2014,BEST PICTURE,Captain Phillips,False
20000000,12 Years a Slave,2013-10-18,187000000.0,12 Years a Slave,2013,2014,BEST PICTURE,12 Years a Slave,True
5000000,Dallas Buyers Club,2013-09-07,55198285.0,Dallas Buyers Club,2013,2014,BEST PICTURE,Dallas Buyers Club,False
12000000,Philomena,2013-11-01,100129872.0,Philomena,2013,2014,BEST PICTURE,Philomena,False
100000000,The Wolf of Wall Street,2013-12-25,392000694.0,The Wolf of Wall Street,2013,2014,BEST PICTURE,The Wolf of Wall Street,False
40000000,American Hustle,2013-12-12,251171807.0,American Hustle,2013,2014,BEST PICTURE,American Hustle,False
23000000,Her,2013-12-18,47351251.0,Her,2013,2014,BEST PICTURE,Her,False
30000000,The Grand Budapest Hotel,2014-02-26,174600318.0,The Grand Budapest Hotel,2014,2015,BEST PICTURE,The Grand Budapest Hotel,False
4000000,Boyhood,2014-06-05,44349000.0,Boyhood,2014,2015,BEST PICTURE,Boyhood,False
3300000,Whiplash,2014-10-10,13092000.0,Whiplash,2014,2015,BEST PICTURE,Whiplash,False
58800000,American Sniper,2014-12-11,542307423.0,American Sniper,2014,2015,BEST PICTURE,American Sniper,False
14000000,The Imitation Game,2014-11-14,233555708.0,The Imitation Game,2014,2015,BEST PICTURE,The Imitation Game,False
15000000,The Theory of Everything,2014-11-26,123726688.0,The Theory of Everything,2014,2015,BEST PICTURE,The Theory of Everything,False
20000000,Selma,2014-12-25,66787908.0,Selma,2014,2015,BEST PICTURE,Selma,False
150000000,Mad Max: Fury Road,2015-05-13,378858340.0,Mad Max: Fury Road,2015,2016,BEST PICTURE,Mad Max: Fury Road,False
2763806,Roma,2004-04-15,0.0,Roma,2018,2019,BEST PICTURE,Roma,False
11000000,Brooklyn,2015-10-20,62076141.0,Brooklyn,2015,2016,BEST PICTURE,Brooklyn,False
10000000,Vice,2015-01-16,0.0,Vice,2018,2019,BEST PICTURE,Vice,False
108000000,The Martian,2015-09-30,630161890.0,The Martian,2015,2016,BEST PICTURE,The Martian,False
135000000,The Revenant,2015-12-25,532950503.0,The Revenant,2015,2016,BEST PICTURE,The Revenant,False
6000000,Room,2015-10-16,35401758.0,Room,2015,2016,BEST PICTURE,Room,False
20000000,Spotlight,2015-11-06,88346473.0,Spotlight,2015,2016,BEST PICTURE,Spotlight,True
40000000,Bridge of Spies,2015-10-15,165478348.0,Bridge of Spies,2015,2016,BEST PICTURE,Bridge of Spies,False
0,Don't Look Up,2009-09-24,0.0,Don't Look Up,2021,2022,BEST PICTURE,Don't Look Up,False
28000000,The Big Short,2015-12-11,133346506.0,The Big Short,2015,2016,BEST PICTURE,The Big Short,False
0,Room,2005-04-01,0.0,Room,2015,2016,BEST PICTURE,Room,False
12000000,Hell or High Water,2016-08-12,37589296.0,Hell or High Water,2016,2017,BEST PICTURE,Hell or High Water,False
4000000,Moonlight,2016-10-21,65046687.0,Moonlight,2016,2017,BEST PICTURE,Moonlight,True
40000000,Hacksaw Ridge,2016-10-07,175302354.0,Hacksaw Ridge,2016,2017,BEST PICTURE,Hacksaw Ridge,False
47000000,Arrival,2016-11-10,203388186.0,Arrival,2016,2017,BEST PICTURE,Arrival,False
30000000,La La Land,2016-11-29,445435700.0,La La Land,2016,2017,BEST PICTURE,La La Land,False
9000000,Manchester by the Sea,2016-11-18,75026965.0,Manchester by the Sea,2016,2017,BEST PICTURE,Manchester by the Sea,False
12000000,Lion,2016-11-24,140302754.0,Lion,2016,2017,BEST PICTURE,Lion,False
0,Whiplash,2013-01-18,0.0,Whiplash,2014,2015,BEST PICTURE,Whiplash,False
25000000,Hidden Figures,2016-12-10,230698791.0,Hidden Figures,2016,2017,BEST PICTURE,Hidden Figures,False
24000000,Fences,2016-12-16,64414761.0,Fences,2016,2017,BEST PICTURE,Fences,False
5000000,Get Out,2017-02-24,252434250.0,Get Out,2017,2018,BEST PICTURE,Get Out,False
18500000,Chocolat,2016-02-03,0.0,Chocolat,2000,2001,BEST PICTURE,Chocolat,False
4696772,Call Me by Your Name,2017-10-27,0.0,Call Me by Your Name,2017,2018,BEST PICTURE,Call Me by Your Name,False
0,サイドウェイズ,2009-10-31,0.0,Sideways,2004,2005,BEST PICTURE,Sideways,False
100000000,Dunkirk,2017-07-19,519876949.0,Dunkirk,2017,2018,BEST PICTURE,Dunkirk,False
0,Get Out,2010-02-01,0.0,Get Out,2017,2018,BEST PICTURE,Get Out,False
